,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
117,有點.宅 ,安平區,9.0,230,1762
118,FunNan Guesthouse,台南市,9.5,166,2024
119,新東亞旅埕 - 台南百年老屋民宿,台南市,9.3,233,1455
120,Baker Street英倫風旅宿 ,台南市,8.2,114,1580
121,烏山頭湖境渡假會館 ,官田區,7.3,184,3199
122,青舍商旅 ,台南市,8.3,400,1369
123,台南市的1臥室公寓 - 21平方公尺/1間專用衛浴 ,台南市,8.7,33,833
124,久田豆旅宿 ,台南市,9.1,989,1745
125,台南艾酣眠 ,台南市,8.0,130,1287
126,台南市的1臥室公寓 - 20平方公尺/1間專用衛浴 ,台南市,9.4,19,999
127,東豐棧一館 ,台南市,7.8,24,1325
128,成功古巷,台南市,9.1,128,1732
129,町屋日木 ,台南市,8.0,85,2119
130,六月 ,台南市,9.1,31,1122
131,東寧文旅 ,台南市,8.2,1777,822
132,九月 ,台南市,8.9,14,939
133,京華商務汽車旅館 ,台南市,8.7,164,1714
134,郡象商旅 ,台南市,8.7,2262,1472
135,天步公寓 ,台南市,9.1,32,1308
136,來了 Laile ,台南市,9.0,812,2303
137,鼎立安商務旅館 ,台南市,8.0,495,1286
138,御宿Motel 台南館 ,安平區,7.7,112,1290
139,樂宿保安 No.1  ,台南市,9.1,1476,1420
140,歐薇汽車旅館  ,安平區,7.8,164,2682
141,Local樂客背包旅棧  ,台南市,9.2,45,1558
142,思慕嶼  ,安平區,9.3,351,2814
143,台南市的1臥室公寓 - 13平方公尺/1間專用衛浴 ,台南市,9.3,13,841
144,一品沅商旅 ,台南市,6.9,978,779
145,吉村大飯店 ,永康區,5.6,11,1550
146,333巷日宿  ,台南市,9.0,455,865
147,台南嘉園旅店 Jia Inn,台南市,9.0,359,1643
148,華都商旅 ,台南市,7.8,760,1316
149,驛家旅店 ,台南市,8.1,1625,1108
150,新紅葉溫泉山莊 ,白河區,8.9,555,3113
151,188 Station 訂房後需主動聯繫 並記得收信轉帳,台南市,9.1,719,3810
152,緣憩背包客棧 ,台南市,8.8,1287,1212
153,M宿花園汽車旅館 ,安南區,7.8,565,1281
154,大福好 ,台南市,8.6,496,939
155,安平十三宿 ,安平區,9.4,367,1722
156,TT Guesthouse旅人時光民宿,台南市,9.3,496,852
157,三道門建築文創旅店 ,台南市,8.7,1444,2424
158,一緒二咖啡民居 ,台南市,9.1,149,2088
159,台南海安藝術公寓民宿 ,台南市,8.5,1810,1431
160,富御館礦質溫泉 ,白河區,8.4,25,3796
161,Yes Yes I Am Willing,台南市,9.3,868,1196
162,8又二分之一 藝術旅店 ,台南市,8.8,199,3290
163,樹舍 ,安平區,8.7,385,2519
164,沐雲頂國際商旅旅館 ,台南市,8.2,568,2457
165,遠悅飯店台南新美二館 ,台南市,7.1,609,1068
166,艾睏設計行旅台南館-窄巷子民宿 ,台南市,8.3,101,1892
167,台南安平莉莉安民宿 ,安平區,8.9,66,1558
168,Mula Hostel,台南市,8.7,222,2104
169,哥爸妻夫商務飯店 - 林森館 ,台南市,6.9,462,1075
170,光華大飯店 ,台南市,6.8,394,1749
171,宿影 ,台南市,8.3,156,1039
172,小西門會館 ,台南市,8.7,249,2143
173,被愛花園 ,台南市,8.5,163,2085
174,神榕一四七 ,台南市,9.4,282,1818
175,寓見南台假日公寓 ,永康區,9.0,356,1788
176,白毛獵人露營農場 ,安南區,8.9,801,1558
177,關仔嶺‧楓丹白露溫泉休閒會館　 ,白河區,7.7,313,2545
178,薇寓一館 ,台南市,9.0,338,1052
179,儷泉溫泉館 ,白河區,8.6,1223,2597
180,永華春休閒商務旅館 ,台南市,7.3,465,1706
181,白墅 ,台南市,9.2,132,2087
182,安平肯辛頓旅店 ,安平區,9.0,678,1455
183,藝術進駐 ,台南市,8.4,165,1281
184,悅 Ya B&B ,台南市,9.5,32,1288
185,GOIN Old House & Bar,台南市,9.6,483,3359
186,二月遊人落腳所  ,台南市,9.0,15,1048
187,台南市的1臥室公寓 - 33平方公尺/1間專用衛浴 ,台南市,9.3,13,1231
188,南惰 • House Nandoor ,台南市,9.0,28,669
189,慕特公寓 ,台南市,8.3,634,1312
190,H& tainan weshare hotel,台南市,8.8,958,1453
191,佳里區雅房3樓A間附陽台 ,佳里區,9.4,22,1387
192,日光城堡 ,台南市,8.3,354,1283
193,安餉家 ,安平區,9.2,11,1126
194,台南日常民宿 ,台南市,9.6,428,1714
195,Inner Place 隱人生活 - 3F Double Room ,台南市,9.5,59,1999
196,散步 Strolling  ,台南市,9.3,46,1696
197,益家客棧 ,安平區,8.8,289,1541
198,伍家 ,台南市,9.2,455,4913
199,為楓渡假別館 ,台南市,8.4,487,1714
200,貳樓居,善化區,9.0,381,1299
201,Inner Place 隱人生活 - 2F Double Room ,台南市,9.6,46,1999
202,小步洋樓民宿 ,台南市,8.0,258,2424
203,築。窩 ,台南市,8.6,269,1314
204,Tainan Daniel Motel,新營區,7.8,62,1990
205,小拾光Little Shin Kuang,安平區,8.4,37,935
206,日升大飯店 ,台南市,7.6,575,1123
207,百威汽車旅館  ,仁德區,7.3,386,1640
208,In.T  ,台南市,9.4,363,1385
209,安康居 ,台南市,9.4,63,2975
210,瑪琪雅朵民宿 ,安平區,9.7,126,1461
211,Leo Ho 背包旅宿 ,台南市,7.7,581,1214
212,風鈴木民宿 ,台南市,8.5,370,1157
213,築夢幸福民宿 ,台南市,8.4,150,1831
214,欣悅商務旅館 ,台南市,8.0,1323,823
215,初生活民宿 ,安南區,8.9,106,1597
216,愛丁堡汽車旅館  ,安平區,8.1,57,1368
217,凱渥汽車旅館 ,台南市,8.0,456,1541
218,迷路·圓環 ,台南市,9.4,561,1628
219,湧福驛站 老屋新力民宿 ,台南市,9.1,1048,1651
220,潮日租  ,台南市,8.2,390,1108
221,初日 ,台南市,8.9,4,1336
222,ioio台南家庭旅館 ,台南市,8.8,8,1804
223,波麗露 Bolero ,台南市,9.2,512,1371
224,RE+ Wood民宿 ,安平區,8.4,165,1377
225,天井 • 樹 ,台南市,9.2,495,2771
226,台南市的1臥室公寓 - 27平方公尺/1間專用衛浴 ,台南市,8.2,7,1153
227,怠宿 SLOW ,台南市,9.2,872,1290
228,My Second Floor Homestay-8-12人可包棟詢問-台南市民宿字155號,台南市,8.8,281,1022
229,亞伯大飯店 ,台南市,7.8,874,935
230,一緒二咖啡民居 ,台南市,9.6,13,2121
231,唯慢空間生活館 ,台南市,8.9,562,1261
232,66南 ,台南市,8.6,373,1081
233,揪是伍參民宿 ,台南市,8.7,1008,3635
234,夢境湖美  ,安平區,9.1,634,1461
235,長谷の湯 ,台南市,8.0,394,1058
236,小日子文創旅店  ,台南市,8.9,167,1039
237,國妃鷹堡時尚會館 - 仁德館 ,仁德區,6.8,55,2554
238,想見公寓 ,台南市,8.5,21,1164
239,小橋好宅 ,台南市,8.4,515,1614
240,鬍子趣旅 ,台南市,9.1,760,1586
241,澄居行旅,台南市,9.7,172,1628
242,SJBnB 日租套房  ,仁德區,8.8,14,1886
243,安平光影 ,安平區,9.1,165,2791
244,河樂悠遊  ,台南市,8.7,20,1626
245,歐嬉客棧 ,台南市,8.9,800,1304
246,窩好宅 ,台南市,8.4,536,2587
247,隨寓而安民宿 ,台南市,9.1,159,1635
248,台南市的5臥室獨棟住宅 - 25平方公尺/5間專用衛浴 ,台南市,10.0,1,2400
249,激情密碼藝術商旅 ,善化區,8.0,350,1887
250,想起旅宿生活工作室 ,台南市,9.4,398,2810
251,哇哈哈食樂宅 ,安平區,9.1,6,1039
252,中西。居 ,台南市,8.9,344,1299
253,荷峰汽車旅館 ,台南市,7.1,291,2604
254,青雅泥漿溫泉精品會館 ,白河區,7.4,247,4286
255,萊加 ,台南市,9.0,9,1885
256,台南康家 ,台南市,9.3,1518,1328
257,台南市的1臥室公寓 - 38平方公尺/1間專用衛浴 ,台南市,8.5,10,3301
258,格林薇依 ,台南市,9.3,367,857
259,黑帝斯別墅 ,台南市,7.0,22,866
260,台南套房2 ,台南市,6.3,35,1583
261,莫非輕旅 ,安平區,8.5,245,1477
262,唯識禪居 ,台南市,9.2,14,1202
