,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
270,Brillant Home,逢甲,7.6,95,771
271,Brillant Home,逢甲,7.6,95,771
272,Beer Town,北區,4.8,16,850
273,荷村 Motel,梧棲區,7.5,297,1385
274,雀客旅館台中一中 ,北區,8.6,632,2315
275,君瑞精品旅店 ,東區,7.8,299,1946
276,逢甲樂居 ,逢甲,9.1,29,952
277,逢甲美學院 ,逢甲,8.3,471,1063
278,一中向日葵,北區,8.1,20,762
279,Tian xing ,逢甲,5.2,16,767
280,怡達汽車旅館 ,東區,7.9,248,1714
281,繽紛精品旅店 ,逢甲,7.9,696,1126
282,台中高鐵民宿  ,烏日區,8.3,419,1472
283,童之心樂園 ,豐原區,9.0,174,1339
284,鳥人創意旅店 ,北屯區,8.0,393,3325
285,亞特蘭大汽車旅館 ,沙鹿區,6.5,418,1541
286,皇凱賓館 ,中區,7.6,1005,866
287,Flower Tree,逢甲,6.3,14,776
288,陽光普照,北區,7.4,43,771
289,劦陶宛陶藝民宿  ,新社區,8.2,252,1818
290,逢甲星空宿 ,逢甲,5.9,82,1050
291,菘畫居  ,谷關,7.9,275,3286
292,皇星商旅 上安館 ,逢甲,7.5,1227,1452
