,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
79,大鵬灣民宿,林邊鄉,8.9,3,998,22.4768698,120.4442131
80,築跡民宿,東港鎮,9.3,346,952,22.4614807,120.4453247
81,屏東的家,內埔鄉,9.0,71,1558,22.6653354,120.5646203
82,東港怡然雅居民宿,東港鎮,8.9,106,1299,22.4769638,120.4443159
83,大益火車民宿,東港鎮,8.3,122,3304,22.4625033,120.4758797
84,幸福浪漫旅,東港鎮,9.1,109,1905,22.4771452,120.4642672
85,枋寮小象民宿,枋寮,8.5,33,1126,22.3880204,120.5932416
86,大鵬灣灣民宿,林邊鄉,8.0,139,693,22.4285213,120.4892635
87,ㄧ個背包客棧,潮州,9.2,77,2267,22.562514,120.531423
88,華僑的家,東港鎮,8.2,102,957,22.4653104,120.4463004
89,No. 152民宿,東港鎮,9.3,130,1304,22.4695463,120.4630817
90,遇見·幸福地民宿,東港鎮,8.7,75,1505,22.461463,120.4609997
91,發現號特色民宿,林邊鄉,8.6,862,1905,22.4286103,120.4885728
92,麟家民宿,麟洛鄉,no info,no info,1714,22.6545498,120.5248576
93,海王星會館特色民宿,東港鎮,8.1,82,1855,22.4599305,120.4666302
94,阿秀的家背包客棧,枋寮,7.1,6,866,22.4073931,120.5927968
95,枋居背包客棧,枋寮,8.9,96,381,22.3846778,120.5982268
96,樹貳舍,潮州,9.4,27,2814,22.5411847,120.5320923
97,蔚藍白鷺民宿,東港鎮,8.7,25,1739,22.4607494,120.4557991
98,東港日和民宿,東港鎮,8.9,62,1572,22.4791753,120.4679099
99,皇星汽車旅館,屏東市,8.1,286,1368,22.6596991,120.5107017
100,水映自在會館,東港鎮,8.7,76,3740,22.4334135,120.4782868
101,玉灣鵬灣民宿Jade Bay B&B,東港鎮,9.0,115,1701,22.4605135,120.4565344
102,想享愉民宿,里港鄉,8.6,113,1039,22.771705,120.479532
103,嘉蓮小棧民宿,東港鎮,8.7,28,1368,22.4593825,120.4559704
104,愛晴海．幸福灣民宿,東港鎮,8.8,83,1818,22.4615229,120.4659463
105,屏東市的1臥室公寓 - 16平方公尺0間專用衛浴,屏東市,no info,no info,655,22.6663275,120.4819203
106,東港大鵬灣加利利民宿,東港鎮,9.6,2,1169,22.4398106,120.467967
107,東港海灣精品民宿,東港鎮,8.1,38,1026,22.4680828,120.4507204
108,好客行館,東港鎮,8.7,226,2380,22.4729132,120.4630155
109,前寓民宿,東港鎮,9.4,55,2095,22.4659018,120.4622984
110,星之芳庭民宿Sweet Family B&B,潮州,9.3,12,2300,22.5442438,120.5347659
111,22旅店,東港鎮,8.8,192,1281,22.4613112,120.4566447
112,橋畔民宿,萬丹鄉,9.1,18,1790,22.6243112,120.4627511
113,利百佳文旅,潮州,9.5,4,2735,22.5553824,120.5346692
114,藍鷺鷥民宿,東港鎮,9.3,39,1714,22.4604567,120.4665614
115,以諾亞的家三館,林邊鄉,7.5,4,1455,22.4334023,120.5141696
116,屏東市的1臥室小屋 - 16平方公尺1間專用衛浴,屏東市,no info,no info,1668,22.6663275,120.4819203
117,典藏金鵬灣,東港鎮,9.2,135,4252,22.4605314,120.4566865
118,風宿-環島東港站,東港鎮,9.0,116,1759,22.4609087,120.4567484
119,老街小棧民宿,潮州,8.1,43,1238,22.5424549,120.544592
120,Duke369東港民宿,東港鎮,9.9,4,2731,22.478238,120.4669371
121,以諾亞的家,林邊鄉,7.8,16,1568,22.4334023,120.5141696
122,幸福莊園庭園民宿,高樹鄉,8.8,41,2771,22.7644672,120.633109
123,高樹鄉的2臥室獨棟住宅 - 60平方公尺3間專用衛浴,高樹鄉,no info,no info,2599,22.8184247,120.588507
124,恩典之家2館,瑪家鄉,8.0,11,3827,22.9006818,120.5798327
125,東港海風民宿,東港鎮,7.9,41,2453,22.4608154,120.4555593
