,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
87,趣旅館 - 林森館 ,中山區,8.5,12645,1215
88,天雲旅棧 台北中山 ,中山區,9.0,1481,1636
89,南陽街壹號旅店 ,中正區,8.6,6044,1310
90,路徒Plus行旅-站前館,中正區,9.1,84,3958
91,台北士林萬麗酒店 ,士林區,8.7,620,4730
92,神旺大飯店 ,大安區,8.1,1454,2257
93,小公館人文旅舍 ,松山區,9.0,1972,2086
94,燦路都飯店 ,中山區,8.4,2494,1365
95,正旅館 - 信義館 ,信義區,8.7,2737,1187
96,谷墨商旅 ,大安區,8.3,5859,1904
97,樂居·微風 ,中山區,8.9,1652,2085
98,晶贊都會旅店台北永和 ,永和區,8.8,6222,1999
99,欣欣時尚旅店 - 松山館 ,松山區,7.5,1419,1876
100,新驛旅店台北車站三館 ,中正區,8.8,5684,2084
101,慕軒飯店 ,大安區,8.8,1400,3716
102,薇閣精品旅館 - 大直旗艦館 ,中山區,8.3,3055,2429
103,洛碁大飯店舞衣南京館 ,中山區,8.6,3713,1357
104,仲信商務會館 ,新店區,7.2,1161,1650
105,洛碁大飯店松山館 ,南港區,8.6,3995,3450
106,日光拾玖 ,中正區,8.9,2539,1876
107,鳳凰閣溫泉飯店 ,北投區,8.3,2117,2532
108,欣欣時尚旅店 - 西門館 ,西門町,7.6,674,1280
109,F Hotel 台北蘆洲館 ,蘆洲區,8.7,1454,1675
110,樂頤飯店-蘆洲台北 ,蘆洲區,8.8,2740,1865
111,柯達大飯店 - 台北長安 ,中山區,9.0,1879,2498
112,明月溫泉 ,烏來區,8.3,2071,4416
113,林口亞昕福朋喜來登酒店 ,林口區,8.7,371,3800
114,碧潭飯店 ,新店區,7.5,2674,1258
115,成旅晶贊飯店 - 台北蘆洲  ,蘆洲區,8.8,6559,1718
116,新驛旅店台北車站一館  ,中正區,8.6,2659,1681
117,瑪奇文旅 ,文山區,8.4,1724,1507
118,北投輕行旅 ,北投區,8.4,4801,2107
119,新驛旅店台北車站二館 ,中正區,8.8,3996,1344
120,H&九份山經海景民宿 ,九份,8.1,1407,2112
121,新莊幸福讚精品飯店 ,新莊區,8.5,1663,1302
122,York Hotel,中正區,8.2,5043,1785
123,美麗殿商旅-板橋館 ,板橋區,8.0,6010,1582
124,新加州景觀旅館 ,新店區,8.2,1790,1885
125,維多麗亞酒店 ,中山區,8.6,1189,3300
126,喜瑞飯店 ,中山區,8.7,5132,2504
127,宜家商旅 ,內湖區,8.4,3138,1869
128,山水妍溫泉會館 ,烏來區,7.3,1828,2287
129,華山文旅 ,中正區,8.1,2105,1926
130,蒲園飯店 ,松山區,8.7,1688,1434
131,丰居旅店-忠孝館 ,大安區,8.4,2258,1474
132,丰居旅店-忠孝館 ,大安區,8.4,2258,1474
133,方舟旅店 - 長安復興館 ,中山區,8.3,4369,1455
134,路境行旅 ,中正區,8.7,9224,1328
135,五月家台大館 ,文山區,8.2,2199,1190
136,凡登台北商務旅店 ,大安區,7.7,6267,917
137,艾爾行旅 ,大安區,8.5,1643,1848
138,台北福華大飯店 ,大安區,8.2,5104,4100
139,你好咖啡旅店 ,大安區,8.8,1790,1784
140,藝宿商旅台北寧夏館 ,中正區,8.0,5248,565
141,台北北城大飯店 ,中山區,7.9,557,934
142,四季山妍溫泉會館 ,烏來區,7.3,778,2180
143,帥客旅店 ,中正區,7.7,3461,1425
144,信星青年旅館- 台北車站 ,中正區,9.4,9189,1403
145,城市商旅 - 北門館 ,大同區,8.4,2471,944
146,家賓旅店 ,文山區,8.2,1239,1368
147,台糖台北會館 ,西門町,8.1,2009,2451
148,洛碁大飯店山水閣 ,中山區,8.1,2266,1410
149,旅樂序精品旅館站前一館 ,中正區,8.4,3410,1664
150,太平洋商旅 ,信義區,8.4,3789,3500
151,馥都飯店 ,板橋區,8.9,3967,2239
152,品川商旅 ,板橋區,8.0,4007,1570
