,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
107,三多旅店 ,前鎮區,7.9,2810,1131
108,橙屋商旅 ,小港區,8.1,1462,1315
109,管家青年旅舍 ,鹽埕區,9.2,507,1423
110,港灣 星空 ,苓雅區,8.1,560,762
111,九福大飯店 ,新興區,8.1,500,1558
112,237重機主題旅店 ,鹽埕區,8.6,915,1342
113,日光河堤時尚旅店 ,前金區,7.4,1255,1182
114,麗馨精品商旅 ,鳳山區,8.0,486,1281
115,高雄旅人驛站 ,新興區,8.0,1027,1409
116,麗池 Motel ,左營區,7.1,406,973
117,德瑞旅店 ,左營區,7.6,872,1565
118,御宿Motel - 鳳山館 ,鳳山區,8.9,935,1905
119,三條文旅 ,苓雅區,8.4,180,3547
120,苓雅大飯店 ,苓雅區,7.2,377,1039
121,御宿Motel - 民族館 ,三民區,8.2,137,1991
122,R8 環保商旅 ,苓雅區,8.4,1881,866
123,皇賓商旅（原心戀雄棧） ,三民區,7.7,440,845
124,高雄85大樓Sam的家 ,苓雅區,9.7,877,1558
125,香格里拉精品旅館 ,三民區,8.3,704,1299
126,碧港良居商旅 - The Harbour ,鼓山區,8.7,2349,1599
127,希望殿堂精緻商旅 ,三民區,8.3,752,997
128,高雄羊角村民宿 ,左營區,8.2,1062,931
129,品宅PInHouse ,苓雅區,9.0,890,1606
130,85四季 ,苓雅區,8.6,297,883
131,薇風精品汽車旅館 ,楠梓區,8.3,3443,1482
132,高雄富野渡假酒店 ,前鎮區,8.4,1354,2486
133,N JOY TAKAO,鼓山區,9.2,291,1385
134,高雄85璀璨 ,苓雅區,7.7,416,655
135,那旅飯店 ,苓雅區,7.1,846,1324
136,美麗島福憩旅店 ,新興區,9.1,396,2851
137,南海商務大飯店 ,前金區,8.1,2170,731
138,媚力泊飯店 ,三民區,8.5,314,1701
139,和樂花園旅店 ,前金區,8.2,534,952
140,雲海精品旅館 ,苓雅區,7.5,1267,1002
141,海景美屋 ,前鎮區,8.0,778,1074
142,高雄里昂旅店 ,左營區,8.0,914,878
143,樂芙優旅精品旅館 ,鼓山區,8.9,1583,1905
144,荷本 ,左營區,8.3,1080,1292
145,【擁抱海洋】海景雙人房 ,苓雅區,8.4,148,999
146,高雄京賞國際飯店 ,三民區,7.6,204,1494
147,固興大飯店 ,三民區,7.1,1683,799
148,⼤港⼩住 ,新興區,8.9,308,1675
149,崧泰旅店 ,前金區,9.1,417,1108
150,聚所 ,左營區,8.2,1612,855
151,御宿Motel - 中華館 ,三民區,8.7,105,2165
152,御宿Motel 博愛館 ,鼓山區,7.5,180,1361
