,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
186,歐遊國際連鎖精品旅館 - 新莊館,新莊區,8.3,1844.0,2265,25.0592787,121.4604757
187,沃客商旅正義館,三重區,7.3,4622.0,1105,25.0603095,121.4982208
188,葳皇時尚飯店,大同區,8.3,3293.0,1691,25.059173,121.511687
189,柯達大飯店台北敦南,大安區,8.4,1888.0,2182,25.0210301,121.5482485
190,士林讚,士林區,7.8,1170.0,1558,25.0954676,121.5257718
191,挪威森林精品SPA汽車旅館,新店區,7.9,1044.0,2060,24.9812092,121.550669
192,麗都飯店,大安區,8.5,1936.0,2384,25.0337878,121.5337333
193,詩漫精品旅館 - 站前館,中正區,8.3,5950.0,1299,25.0457831,121.5148402
194,凡登 東棧商務旅店,大安區,8.0,2671.0,1980,25.041744,121.55213
195,山水妍溫泉會館,烏來區,7.3,1828.0,4435,24.8604123,121.5491535
196,睡臺北時尚旅店-南雅夜市館,板橋區,7.7,2008.0,1315,25.0067101,121.456094
197,金帥飯店,西門町,7.1,3595.0,942,25.0426126,121.5046471
198,沃客商旅成功館,三重區,7.9,2750.0,1160,25.0517786,121.4881353
199,福爾摩莎101青年旅館,信義區,8.5,2715.0,1221,25.0287151,121.5571823
200,愛行旅,中山區,8.4,1443.0,1038,25.057708,121.52216
201,台北清翼居旅店,板橋區,8.2,2358.0,1545,25.007151,121.460652
202,儷閣別墅旅館,中和區,8.0,828.0,1642,24.9811586,121.4848212
203,黑熊好眠站旅館 - 台北橋站,三重區,8.7,9266.0,523,25.063051,121.499599
204,愛玩客旅店-西門町館,西門町,8.4,3754.0,1379,25.0458998,121.5067394
205,和昌商旅・淡水館,淡水區,7.5,1605.0,1130,25.1805334,121.421497
206,基河青旅,士林區,8.4,388.0,1472,25.0517786,121.4881353
207,大稻埕花園旅店,大同區,8.5,519.0,3261,25.0622092,121.5091733
208,峻美精品商旅,中山區,7.8,700.0,1247,25.0548084,121.526107
209,探索汽車旅館 - 中和店,中和區,7.9,1954.0,1757,24.9991274,121.4859765
210,真的好晶漾會館,新莊區,7.6,777.0,1302,25.0533489,121.4514879
211,士林公寓,士林區,7.7,1577.0,1598,25.091176,121.5246019
212,西門好好玩,西門町,7.7,11046.0,964,25.045689,121.5058549
213,絹絲谷,士林區,8.6,273.0,5377,25.1360385,121.5711731
214,富康精采旅店,板橋區,8.1,778.0,1808,25.0274848,121.4703105
